category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
地理,栃木県の県庁所在地は？,栃木県の基本情報について,1,15,栃木県の県庁所在地は宇都宮市です,足利市,宇都宮市,栃木市,佐野市,2
歴史,栃木県が成立した年は？,栃木県の歴史について,2,20,栃木県は1876年（明治9年）に成立しました,1868年,1876年,1889年,1900年,2
観光,日光東照宮の建立者は？,栃木県の世界遺産について,1,15,徳川家康を祀る日光東照宮は徳川家光が建立しました,徳川家康,徳川家光,徳川秀忠,徳川綱吉,2
産業,栃木県の主要産業は？,栃木県の経済について,1,15,自動車産業が栃木県の主要産業です,農業,自動車産業,観光業,IT産業,2
特産品,栃木県の名産品「いちご」の主な産地は？,栃木県の農業について,2,20,栃木県のいちごは主に真岡市で生産されています,宇都宮市,真岡市,足利市,佐野市,2
文化,栃木県の伝統工芸品「益子焼」の産地は？,栃木県の伝統文化について,2,20,益子焼は益子町で作られる陶器です,益子町,足利市,佐野市,栃木市,1
地理,栃木県の面積は約何平方キロメートル？,栃木県の地理について,2,20,栃木県の面積は約6,408平方キロメートルです,5,000平方キロメートル,6,408平方キロメートル,7,500平方キロメートル,8,000平方キロメートル,2
歴史,足利学校の創設者は？,栃木県の歴史的建造物について,2,25,足利学校は足利尊氏が創設したと伝えられています,足利尊氏,足利義満,足利義政,足利義輝,1
観光,日光の社寺が世界遺産に登録された年は？,栃木県の世界遺産について,2,20,日光の社寺は1999年に世界遺産に登録されました,1995年,1999年,2003年,2007年,2
産業,栃木県の工業出荷額で最も多いのは？,栃木県の産業統計について,2,25,栃木県の工業出荷額は自動車関連が最も多いです,食品工業,自動車関連,電子機器,化学工業,2
特産品,栃木県の「とちおとめ」とは？,栃木県の特産品について,1,15,とちおとめは栃木県で開発されたいちごの品種です,りんご,いちご,ぶどう,もも,2
文化,栃木県の祭り「鹿沼今宮神社祭の屋台行事」の特徴は？,栃木県の伝統文化について,2,25,鹿沼今宮神社祭は豪華な彫刻屋台が特徴です,花火大会,彫刻屋台,神輿,山車,2
地理,栃木県の最高峰は？,栃木県の地形について,2,20,栃木県の最高峰は白根山（2,578m）です,男体山,白根山,三本槍岳,日光白根山,2
歴史,栃木県の古墳時代の遺跡「下野薬師寺跡」の特徴は？,栃木県の考古学について,2,25,下野薬師寺跡は奈良時代の寺院跡で重要文化財です,古墳群,寺院跡,城跡,集落跡,2
観光,鬼怒川温泉の泉質は？,栃木県の温泉について,2,20,鬼怒川温泉はアルカリ性単純温泉です,酸性温泉,アルカリ性単純温泉,硫黄温泉,塩化物温泉,2
産業,栃木県の農業産出額で最も多いのは？,栃木県の農業について,2,20,栃木県の農業産出額は米が最も多いです,米,野菜,果実,畜産,1
特産品,栃木県の「佐野ラーメン」の特徴は？,栃木県の食文化について,2,25,佐野ラーメンは醤油ベースのスープが特徴です,味噌ベース,醤油ベース,塩ベース,豚骨ベース,2
文化,栃木県の伝統芸能「日光和楽器」の特徴は？,栃木県の伝統文化について,2,25,日光和楽器は日光東照宮の祭礼で使用される楽器です,神楽,祭礼楽器,民謡,能楽,2
地理,栃木県の県花は？,栃木県のシンボルについて,1,15,栃木県の県花はヤシオツツジです,サクラ,ヤシオツツジ,アジサイ,ツバキ,2
