category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
地理,栃木県の県境で最も長いのは群馬県との境界で約何キロメートル？,栃木県の地理について,2,25,栃木県と群馬県の境界は約150キロメートルです,100キロメートル,150キロメートル,200キロメートル,250キロメートル,2
歴史,栃木県の「下野国」の成立年は？,栃木県の歴史について,2,25,下野国は7世紀後半に成立しました,5世紀,7世紀後半,9世紀,11世紀,2
観光,日光の「中禅寺湖」の周囲は約何キロメートル？,栃木県の観光について,2,20,中禅寺湖の周囲は約25キロメートルです,15キロメートル,25キロメートル,35キロメートル,45キロメートル,2
産業,栃木県の工業で最も多い企業の設立年は？,栃木県の産業について,2,25,栃木県の工業企業で最も多い設立年は昭和40年代です,大正時代,昭和30年代,昭和40年代,平成時代,3
特産品,栃木県の「那須高原のワイン」の生産量は約何リットル？,栃木県の特産品について,2,25,那須高原のワインの生産量は約10万リットルです,5万リットル,10万リットル,20万リットル,30万リットル,2
文化,栃木県の伝統工芸「益子焼」の窯の燃料は？,栃木県の伝統工芸について,2,25,益子焼の窯の燃料は薪です,ガス,薪,電気,重油,2
地理,栃木県の河川で最も流量が多いのは？,栃木県の地理について,2,20,栃木県の河川で最も流量が多いのは鬼怒川です,那珂川,鬼怒川,思川,巴波川,2
歴史,栃木県の「足利学校」の創設者の没年は？,栃木県の歴史について,2,25,足利尊氏の没年は1358年です,1330年,1358年,1380年,1400年,2
観光,那須高原の年間降雪量は約何センチメートル？,栃木県の観光について,2,20,那須高原の年間降雪量は約200センチメートルです,100センチメートル,200センチメートル,300センチメートル,400センチメートル,2
産業,栃木県の農業で最も多い農家の経営年数は？,栃木県の農業について,2,25,栃木県の農家で最も多い経営年数は30年以上です,10年未満,20-29年,30年以上,50年以上,3
特産品,栃木県の「佐野ラーメン」のスープの温度は約何度？,栃木県の食文化について,2,20,佐野ラーメンのスープの温度は約80度です,60度,80度,100度,120度,2
文化,栃木県の祭り「鹿沼今宮神社祭」の屋台の高さは約何メートル？,栃木県の伝統文化について,2,25,鹿沼今宮神社祭の屋台の高さは約4メートルです,2メートル,4メートル,6メートル,8メートル,2
地理,栃木県の湖沼で最も標高が高いのは？,栃木県の地理について,2,20,栃木県の湖沼で最も標高が高いのは中禅寺湖（1,269m）です,中禅寺湖,湯ノ湖,菖蒲ヶ浜,大池,1
歴史,栃木県の「宇都宮城」の築城者の出身は？,栃木県の歴史について,2,25,宇都宮城の築城者宇都宮氏は下野国の豪族です,足利氏,宇都宮氏,小山氏,佐野氏,2
観光,日光の「華厳の滝」の観光客の平均滞在時間は約何分？,栃木県の観光について,2,20,華厳の滝の観光客の平均滞在時間は約30分です,15分,30分,45分,60分,2
